stage,scale,architecture,seed,tokens,context,micro,accum,nll,ppl,training_tok_s,peak_vram_gib,compile_s,status,notes
25m_gate,25m,transformer,7047,10000000,512,,,,7.2107,,,,complete,"compiled preregistered TAM v3 gate"
25m_gate,25m,tamv3,7047,10000000,512,,,,7.1737,,,,complete,"TAM win"
25m_gate,25m,transformer,7048,10000000,512,,,,7.2386,,,,complete,"compiled preregistered TAM v3 gate"
25m_gate,25m,tamv3,7048,10000000,512,,,,7.2191,,,,complete,"TAM win"
25m_gate,25m,transformer,7049,10000000,512,,,,7.2360,,,,complete,"compiled preregistered TAM v3 gate"
25m_gate,25m,tamv3,7049,10000000,512,,,,7.1701,,,,complete,"TAM win"
25m_64x2_confirmation,25m,transformer,7060,10000000,512,64,2,7.2289,,570317,,,complete,"optimized confirmation"
25m_64x2_confirmation,25m,tamv3,7060,10000000,512,64,2,,,,,complete,"see issue #51 for exact callback"
25m_64x2_confirmation,25m,transformer,7061,10000000,512,64,2,7.2048,,577954,,,complete,"optimized confirmation"
25m_64x2_confirmation,25m,tamv3,7061,10000000,512,64,2,,,,,complete,"see issue #51 for exact callback"
25m_64x2_confirmation,25m,transformer,7062,10000000,512,64,2,7.1873,,570298,,,complete,"optimized confirmation"
25m_64x2_confirmation,25m,tamv3,7062,10000000,512,64,2,,,,,complete,"see issue #51 for exact callback"
50m_gate,50m,transformer,7102,10000000,512,64,2,7.0969,,,,,complete,"replicated scaling gate"
50m_gate,50m,tamv3,7102,10000000,512,64,2,6.8978,,,,,complete,"TAM win; delta +0.1991"
50m_gate,50m,transformer,7103,10000000,512,64,2,7.0550,,,,,complete,"replicated scaling gate"
50m_gate,50m,tamv3,7103,10000000,512,64,2,6.8577,,,,,complete,"TAM win; delta +0.1973"
50m_gate,50m,transformer,7104,10000000,512,64,2,7.0404,,,,,complete,"replicated scaling gate"
50m_gate,50m,tamv3,7104,10000000,512,64,2,6.9101,,,,,complete,"TAM win; delta +0.1303"
100m_smoke,100m,transformer,7201,1000000,512,64,2,8.9265,7528.53,280400,36.98,284.32,complete,"runtime/fit smoke only"
100m_smoke,100m,tamv3,7201,1000000,512,64,2,8.9263,7527.02,225867,43.04,564.28,complete,"runtime/fit smoke only"
cache_proof_v2,25m,tamv3,7302,1000000,512,64,2,9.8101,18216.81,368314,28.21,525.33,complete,"cold cache; following warm seed failed due volume.reload ordering"
cache_proof_v3,25m,tamv3,7304,1000000,512,64,2,9.7925,17898.90,440561,28.21,294.94,complete,"cold version-safe cache; issue #65"
100m_replicated,100m,transformer,7202,10000000,512,64,2,,,,,,running,"issue #67; preregistered in #66"
100m_replicated,100m,tamv3,7202,10000000,512,64,2,,,,,,running,"issue #67; preregistered in #66"
100m_replicated,100m,transformer,7203,10000000,512,64,2,,,,,,running,"issue #67; preregistered in #66"
100m_replicated,100m,tamv3,7203,10000000,512,64,2,,,,,,running,"issue #67; preregistered in #66"
100m_replicated,100m,transformer,7204,10000000,512,64,2,,,,,,running,"issue #67; preregistered in #66"
100m_replicated,100m,tamv3,7204,10000000,512,64,2,,,,,,running,"issue #67; preregistered in #66"
25m_full_pretrain,25m,tamv3,7400,300000000,512,64,2,4.4131,82.52,496734,,,complete,"first fully pretrained TAM v3 base; issue #73; checkpoint durable"
25m_full_sft,25m,tamv3,7400,,512,64,2,3.6048581835,,,,201.7430,complete,"assistant-only held-out NLL; SFT optimizer training 20.4779s; metric is assistant NLL, not FineWeb NLL"
25m_full_dpo,25m,tamv3,7400,,512,32,2,,,,,,,complete,"full 5k preference pairs; held-out implicit reward accuracy=0.564; optimizer training 42.2382s"
25m_full_final_eval,25m,tamv3,7400,,512,,,4.6162,,,,,complete,"post-SFT+DPO FineWeb validation NLL; final checkpoint final_dpo.pt; issue #91; verified by issue #92"
